ext1,ext2,ext3,ext4,ext5,ext6,ext7,ext8,ext9,ext10,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,agr1,agr2,agr3,agr4,agr5,agr6,agr7,agr8,agr9,agr10,csn1,csn2,csn3,csn4,csn5,csn6,csn7,csn8,csn9,csn10,opn1,opn2,opn3,opn4,opn5,opn6,opn7,opn8,opn9,opn10,degree_category,happiness_level,gender,birth_date,birth_location_country_clean,age,age_group,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,neuroticism_score,zodiac_sign,zodiac_group
2.0,5.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,4.0,4.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,Social Sciences,4,F,2002-11-20,Argentina,21,18-30,35.0,29.0,37.0,46.0,41.0,Escorpio,Agua
2.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,Business,4,M,1998-10-13,Argentina,25,18-30,40.0,30.0,29.0,37.0,17.0,Libra,Aire
1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,4.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,STEM,4,F,2023-10-22,Argentina,0,0-18,38.0,29.0,20.0,36.0,27.0,Libra,Aire
3.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,STEM,4,M,1994-12-09,Argentina,29,18-30,34.0,39.0,32.0,47.0,36.0,Sagitario,Fuego
1.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,STEM,5,F,2003-04-25,Argentina,20,18-30,40.0,31.0,27.0,49.0,18.0,Tauro,Tierra
2.0,3.0,2.0,1.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,STEM,4,M,1975-10-24,Argentina,48,46-59,38.0,34.0,24.0,35.0,19.0,Escorpio,Agua
3.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,STEM,4,M,1965-10-20,Argentina,58,46-59,40.0,34.0,40.0,46.0,27.0,Libra,Aire
4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,Business,4,M,1989-06-03,Argentina,34,31-45,45.0,49.0,31.0,46.0,30.0,Géminis,Aire
4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,Business,4,F,1969-08-28,Argentina,54,46-59,42.0,44.0,35.0,45.0,30.0,Virgo,Tierra
3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,Business,4,M,1995-06-09,Argentina,28,18-30,45.0,39.0,34.0,44.0,21.0,Géminis,Aire
3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,Social Sciences,2,F,1982-03-27,Argentina,41,31-45,33.0,30.0,24.0,41.0,38.0,Aries,Fuego
5.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,Arts,4,M,1996-02-04,Argentina,27,18-30,44.0,32.0,43.0,40.0,26.0,Acuario,Aire
3.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,Arts,3,M,1984-08-24,Italy,39,31-45,34.0,33.0,32.0,45.0,25.0,Virgo,Tierra
3.0,4.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,1.0,5.0,5.0,Arts,3,F,1996-06-18,Argentina,27,18-30,42.0,36.0,33.0,41.0,41.0,Géminis,Aire
5.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,Business,4,F,2000-06-24,Spain,23,18-30,36.0,25.0,38.0,42.0,21.0,Cáncer,Agua
3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,,5,F,1985-08-20,Argentina,38,31-45,45.0,42.0,46.0,48.0,23.0,Leo,Fuego
4.0,2.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,STEM,5,M,1959-11-21,Italy,64,60+,31.0,35.0,35.0,47.0,17.0,Escorpio,Agua
4.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0,1.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,1.0,5.0,3.0,Business,4,F,2002-12-15,Argentina,21,18-30,37.0,30.0,38.0,50.0,35.0,Sagitario,Fuego
2.0,4.0,2.0,4.0,2.0,3.0,2.0,5.0,1.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,Business,4,F,1974-03-01,Argentina,49,46-59,34.0,38.0,29.0,40.0,28.0,Piscis,Agua
3.0,5.0,4.0,2.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,Arts,4,F,2003-03-05,Argentina,20,18-30,46.0,47.0,35.0,50.0,46.0,Piscis,Agua
3.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,3.0,1.0,4.0,2.0,2.0,5.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,Health Sciences,3,M,2002-08-08,Argentina,21,18-30,43.0,42.0,32.0,35.0,32.0,Leo,Fuego
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,,1,M,2023-05-02,Italy,0,0-18,44.0,38.0,50.0,46.0,28.0,Tauro,Tierra
2.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,Health Sciences,3,F,2000-11-12,Argentina,23,18-30,28.0,36.0,30.0,37.0,38.0,Escorpio,Agua
3.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,5.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,Humanities,4,F,2002-07-24,Argentina,21,18-30,42.0,30.0,39.0,38.0,31.0,Leo,Fuego
2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,STEM,2,F,1995-06-22,Argentina,28,18-30,19.0,34.0,22.0,38.0,35.0,Cáncer,Agua
2.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,Social Sciences,3,M,2002-09-12,Argentina,21,18-30,44.0,27.0,33.0,37.0,21.0,Virgo,Tierra
4.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,STEM,2,M,2023-10-24,Argentina,0,0-18,32.0,19.0,35.0,29.0,38.0,Escorpio,Agua
3.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,Business,4,F,2000-12-07,Spain,23,18-30,33.0,38.0,38.0,40.0,23.0,Sagitario,Fuego
4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,Business,3,M,1997-05-20,Chile,26,18-30,40.0,36.0,37.0,43.0,29.0,Tauro,Tierra
2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,Social Sciences,3,M,1999-05-10,Argentina,24,18-30,43.0,21.0,25.0,46.0,36.0,Tauro,Tierra
2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,Education,5,F,1973-02-19,Argentina,50,46-59,25.0,37.0,23.0,35.0,12.0,Piscis,Agua
5.0,5.0,4.0,4.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Health Sciences,3,F,1995-06-29,Argentina,28,18-30,50.0,46.0,40.0,49.0,36.0,Cáncer,Agua
1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,3.0,STEM,4,M,2003-05-18,Argentina,20,18-30,31.0,34.0,26.0,43.0,32.0,Tauro,Tierra
4.0,1.0,3.0,2.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,1.0,5.0,3.0,1.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,Arts,5,F,2001-10-28,Argentina,22,18-30,44.0,43.0,31.0,30.0,31.0,Escorpio,Agua
4.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,4.0,Social Sciences,4,F,2000-08-27,Argentina,23,18-30,31.0,42.0,36.0,39.0,34.0,Virgo,Tierra
4.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,2.0,5.0,4.0,Business,4,F,2003-12-04,Argentina,20,18-30,32.0,33.0,40.0,43.0,25.0,Sagitario,Fuego
2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,Arts,3,F,1979-04-27,Argentina,44,31-45,45.0,38.0,23.0,38.0,21.0,Tauro,Tierra
3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,Business,3,M,1966-01-12,Argentina,57,46-59,27.0,35.0,29.0,35.0,32.0,Capricornio,Tierra
2.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,3.0,Arts,2,M,1981-09-16,Argentina,42,31-45,41.0,48.0,21.0,43.0,23.0,Virgo,Tierra
3.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,Social Sciences,4,M,1999-01-19,Argentina,24,18-30,40.0,38.0,29.0,43.0,30.0,Capricornio,Tierra
5.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,Social Sciences,5,M,1998-12-20,Argentina,25,18-30,45.0,42.0,45.0,47.0,28.0,Sagitario,Fuego
3.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,Other,3,M,2001-05-07,Argentina,22,18-30,34.0,36.0,29.0,36.0,30.0,Tauro,Tierra
2.0,2.0,1.0,2.0,5.0,5.0,2.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,Social Sciences,3,M,1998-12-20,Argentina,25,18-30,41.0,39.0,26.0,43.0,43.0,Sagitario,Fuego
4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,Business,3,F,2001-04-05,Argentina,22,18-30,36.0,31.0,32.0,35.0,45.0,Aries,Fuego
3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,STEM,4,F,2005-06-13,Argentina,18,18-30,29.0,43.0,37.0,35.0,34.0,Géminis,Aire
2.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,Business,4,M,1998-06-24,Argentina,25,18-30,33.0,43.0,25.0,42.0,22.0,Cáncer,Agua
3.0,2.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,3.0,1.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,4.0,Business,5,M,1994-06-27,Argentina,29,18-30,34.0,39.0,29.0,34.0,29.0,Cáncer,Agua
2.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,STEM,4,M,2004-07-25,Argentina,19,18-30,33.0,34.0,21.0,35.0,21.0,Leo,Fuego
4.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,1.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,Arts,5,M,2002-08-20,Argentina,21,18-30,45.0,35.0,40.0,33.0,25.0,Leo,Fuego
4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,Business,4,M,2003-11-13,Argentina,20,18-30,36.0,26.0,36.0,46.0,25.0,Escorpio,Agua
3.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,Business,4,M,2003-12-02,Argentina,20,18-30,36.0,31.0,39.0,31.0,34.0,Sagitario,Fuego
3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,Social Sciences,4,M,1997-04-25,Argentina,26,18-30,43.0,38.0,43.0,45.0,24.0,Tauro,Tierra
3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,1.0,5.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,Other,2,M,1998-03-17,Argentina,25,18-30,45.0,32.0,39.0,31.0,24.0,Piscis,Agua
